user_name;text;;;;;;;;;;;;
Ivan Lai;I'm at Poslaju (Shamlin Perkasa).;;;;;;;;;;;;
Meor Farizul;I'm at Poslaju Cheras (Taman Shamelin Perkasa  Kuala Lumpur). http://4sq.com/biDad4;;;;;;;;;;;;
Amroro;I'm at Poslaju (Bandar Baru Senawang  Seremban). http://4sq.com/coNxoUlevard Shopping Complex) http://4sq.com/9G5azh;;;;;;;;;;;;
Abdul Malik;Ingat nak send barang at Boulevard  tapi Poslaju down. Fml. (@ Boulevard Shopping Complex) http://4sq.com/9G5azh;;;;;;;;;;;;
sallehy;I'm at Poslaju Dolomite Business Centre (Jalan Desa Batu Caves 1/7  Batu Caves). http://4sq.com/975a0v;;;;;;;;;;;;
wahiruzaman;What the frick. Poslaju is getting slower by the day. Benda tu dah sampai shah alam since friday afternoon kot. So why belum sampai? Grrr;;;;;;;;;;;;
N Azlin Sha;"At poslaju 227 collecting """"something""""..muahaha.. Been waiting for this for a long long time... ";;;;;;;;;;;;
Lvin Yee;I'm at PosLaju National Courier. http://4sq.com/bwcSBCeen waiting for this for a long long time... ;;;;;;;;;;;;
Lvin Yee;I'm at PosLaju National Courier. http://4sq.com/bwcSBC;;;;;;;;;;;;
Richard Chua;I'm at Pusat Poslaju (Jalan Tun Sambanthan  Kuala Lumpur). http://4sq.com/c9u6KQ;;;;;;;;;;;;
Neeta Jamel;Yes!!I made it here..haha! (@ Poslaju) http://4sq.com/9NkH7Z;;;;;;;;;;;;
R E P L A Y;Pos laju here is unexpected cheap  only 4.40 normally cheapest is 5.50. Weird.. (@ Pos Malaysia) http://4sq.com/cstJaS;;;;;;;;;;;;
R E P L A Y;Pos laju here is unexpected cheap  only 4.40 normally cheapest is 5.50. Weird.. (@ Pos Malaysia) http://4sq.com/cstJaS;;;;;;;;;;;;
Faizal Reza;Outlaw uniform @ Poslaju Dolomite Business Centre http://instagr.am/p/SuMc/;;;;;;;;;;;;
Faizal Reza;Outlaw uniform @ Poslaju Dolomite Business Centre http://instagr.am/p/SuMc/;;;;;;;;;;;;
Amos Quah;I'm at Poslaju Cheras (Taman Shamelin Perkasa  Kuala Lumpur). http://4sq.com/biDad4;;;;;;;;;;;;
Andy Mervin George;I'm at Poslaju @ Taman Shamelin Perkasa (Jalan 4/91  Kuala Lumpur). http://4sq.com/brELkd T_T;;;;;;;;;;;;
Amroro;Collect sticky pad (@ Poslaju) http://4sq.com/coNxoU;;;;;;;;;;;;
Mayur;Sin City? @ Pos Laju Jalan Tun Sambathan http://instagr.am/p/WPHv/;;;;;;;;;;;;
Amos Quah;I'm at Poslaju Cheras (Taman Shamelin Perkasa  Kuala Lumpur). http://4sq.com/biDad4;;;;;;;;;;;;
Andy Mervin George;I'm at Poslaju @ Taman Shamelin Perkasa (Jalan 4/91  Kuala Lumpur). http://4sq.com/brELkd;;;;;;;;;;;;
Mayur;Sin City? @ Pos Laju Jalan Tun Sambathan http://instagr.am/p/WPHv/;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi. http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi. http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;mengepos (@ Poslaju Bangi) http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;I just ousted Mizz N. as the mayor of Poslaju Bangi on @foursquare! http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;pickup brg (@ Poslaju Bangi) http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;pickup brg (@ Poslaju Bangi) http://4sq.com/axTk0w;;;;;;;;;;;;
A Sabry Othman;Resume delivery (@ Poslaju Bangi) http://4sq.com/axTk0w;;;;;;;;;;;;
A Sabry Othman;Resume delivery (@ Poslaju Bangi) http://4sq.com/axTk0w;;;;;;;;;;;;
Anson Soo;I'm at Poslaju@kl sentral w/ @louiselau62. http://4sq.com/aD8bKO;;;;;;;;;;;;
Louise Lau;No idea who would have sent me a parcel... (@ Poslaju@kl sentral) http://4sq.com/aD8bKO;;;;;;;;;;;;
MieAbdullah;pickup item (@ Poslaju Bangi w/ 2 others) http://4sq.com/axTk0w;;;;;;;;;;;;
siti fairuz sofian;Amek parcel (@ Pos Laju National Courier) http://4sq.com/hd30Za;;;;;;;;;;;;
Ivan Lai;I'm at Poslaju (Shamlin Perkasa). http://4sq.com/9Hcw1s;;;;;;;;;;;;
WAFIE ADHA;I just became the mayor of POSLAJU National Courier on @foursquare! http://4sq.com/cQKbmk;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi. http://4sq.com/axTk0w;;;;;;;;;;;;
siti fairuz sofian;Amek parcel (@ Pos Laju National Courier) http://4sq.com/hd30Za;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi. http://4sq.com/axTk0w;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi. http://4sq.com/axTk0w;;;;;;;;;;;;
Herman Shah;Amik brg (@ Poslaju Bangi) http://4sq.com/fHJiMA;;;;;;;;;;;;
